"Input Type (HIB, HAR, Sequence, or Small Files)"	Size	Wall clock using time command (seconds)	Bytes Read from HDFS	Bytes Written to HDFS	Bytes between Map and Reduce
Old	10	83.22	4852692	0	0
Old	10	74.908	4852692	0	0
Old	10	77.492	4852692	0	0
Old	10		4852692	0	0
Old	10		4852692	0	0
Old	100	95.303	50343711	0	0
Old	100	93.859	50343711	0	0
Old	100	99.589	50343711	0	0
Old	100		50343711	0	0
Old	100		50343711	0	0
Old	1000	127.874	401783998	20155408	20155404
Old	1000	167.658	401783998	20155408	20155404
Old	1000	130.476	401783998	20155408	20155404
Old	1000		401783998	20155408	20155404
Old	1000		401783998	20155408	20155404
Old	10000	244.165	4897121275	20155408	2156628228
Old	10000	261.036	4897121275	20155408	2156628228
Old	10000	466.89	4897121275	20155408	2156628228
Old	10000		4897121275	20155408	2156628228
Old	10000		4897121275	20155408	2156628228
Old	100000	627.309	72161266014	20155408	3668283528
Old	100000		72161266014	20155408	3668283528
Old	100000		72161266014	20155408	3668283528
Old	100000		72161266014	20155408	3668283528
Old	100000		72161266014	20155408	3668283528
New	10	76.034	4852692	0	0
New	10	75.974	4852692	0	0
New	10	76.057	4852692	0	0
New	10		4852692	0	0
New	10		4852692	0	0
New	100	75.14	50343711	0	0
New	100	80.02	50343711	0	0
New	100	76.356	50343711	0	0
New	100		50343711	0	0
New	100		50343711	0	0
New	1000	72.937	401783998	20155408	20155404
New	1000	122.473	401783998	20155408	20155404
New	1000	92.82	401783998	20155408	20155404
New	1000		401783998	20155408	20155404
New	1000		401783998	20155408	20155404
New	10000	214.994	4172170044	20155408	2156628228
New	10000	263.138	4172170044	20155408	2156628228
New	10000	254.193	4172170044	20155408	2156628228
New	10000		4172170044	20155408	2156628228
New	10000		4172170044	20155408	2156628228
New	100000
New	100000
New	100000
New	100000
New	100000
