"Input Type (HIB, HAR, Sequence, or Small Files)"	Size	Wall clock using time command (seconds)	Bytes Read from HDFS	Bytes Written to HDFS	Bytes between Map and Reduce
small files	10	135.85	4852620	0	0
small files	10	213.87	4852620	0	0
small files	10	68.11	4852620	0	0
small files	10	474.29	4852620	0	0
small files	10	65.88	4852620	0	0
small files	100	243.73	50342967	0	0
small files	100	184.55	50342967	0	0
small files	100	107.65	50342967	0	0
small files	100	390.35	50342967	0	0
small files	100	80.88	50342967	0	0
small files	1000	217.05	399977032	0	0
small files	1000	219.44	399977032	0	0
small files	1000	199.99	399936995	0	0
small files	1000	189.02	399977032	0	0
small files	1000	195.91	399977032	0	0
sequence	10	70.47	4853055	0	0
sequence	10	68.11	4853055	0	0
sequence	10	66.13	4853055	0	0
sequence	10	72.22	4853055	0	0
sequence	10	74.08	4853055	0	0
sequence	100	115.65	50346762	0	0
sequence	100	97.75	50346762	0	0
sequence	100	94.32	50346762	0	0
sequence	100	91.23	50346762	0	0
sequence	100	92.44	50346762	0	0
sequence	1000	123.59	402424315	0	0
sequence	1000	124.19	402424315	0	0
sequence	1000	141.66	402424315	0	0
sequence	1000	142.48	402424315	0	0
sequence	1000	122.62	402424315	0	0
sequence	10000	212.82	4919834808	0	0
sequence	10000	208.01	4919834808	0	0
sequence	10000	195.23	4919834808	0	0
sequence	10000	233.74	4919834808	0	0
sequence	10000	197.88	4919834808	0	0
sequence	100000	463.73	72688538373	0	0
sequence	100000	424.48	72688538373	0	0
sequence	100000	449.47	72688538373	0	0
sequence	100000	460.95	72688538373	0	0
sequence	100000	463.09	72688538373	0	0
HAR	10	89.97	4869441	0	0
HAR	10	82.75	4869441	0	0
HAR	10	80.29	4869441	0	0
HAR	10	82.06	4869441	0	0
HAR	10	81.54	4869441	0	0
HAR	100	292.92	51166783	0	0
HAR	100	239.4	51166783	0	0
HAR	100	231.46	51166783	0	0
HAR	100	234.31	51166783	0	0
HAR	100	251.94	51166783	0	0
HAR	1000	2964.62	476377072	0	0
HAR	1000	2406.62	476377072	0	0
HAR	1000	2439.14	476377072	0	0
HAR	1000	2414.37	476377072	0	0
HAR	1000	2425.77	476377072	0	0
HIB	10	68.14	4852692	0	0
HIB	10	70.18	4852692	0	0
HIB	10	82.43	4852692	0	0
HIB	10	85.15	4852692	0	0
HIB	10	223.95	4852692	0	0
HIB	100	91.29	50343711	0	0
HIB	100	87.94	50343711	0	0
HIB	100	107.34	50343711	0	0
HIB	100	99.71	50343711	0	0
HIB	100	92.75	50343711	0	0
HIB	1000	152.93	401783998	0	0
HIB	1000	136.08	401783998	0	0
HIB	1000	124.76	401783998	0	0
HIB	1000	140.66	401783998	0	0
HIB	1000	161.76	401783998	0	0
HIB	10000	137.57	4897121275	0	0
HIB	10000	155.61	4897121275	0	0
HIB	10000	172.91	4897121275	0	0
HIB	10000	187.91	4897121275	0	0
HIB	10000	142.6	4897121275	0	0
HIB	100000	607.09	72161266014	0	0
HIB	100000	519.11	72161266014	0	0
HIB	100000	647.25	72161266014	0	0
HIB	100000	483.91	72161266014	0	0
HIB	100000	388.85	72161266014	0	0
